Domain,IP,ASN,Company,Flag,Added,Details,Service Ticket,Reported to ICANN
gmx.com,,,,No,2022-01-16 15:35:00.000,,,
sandi.net,,,,No,2022-01-19 10:04:00.000,,,
pacbell.net,,,,No,2022-01-28 12:48:00.000,,,
confire.org,,,,No,2022-02-05 05:38:00.000,,,
michelecmartinez.com,,,,No,2022-02-05 17:42:00.000,,,
masters.edu,,,,No,2022-02-07 17:05:00.000,,,
roadrunner.com,,,,No,2022-02-15 10:31:00.000,,,
callutheran.edu,,,,No,2022-02-15 11:04:00.000,,,
theedfund.org,,,,No,2022-02-16 16:17:00.000,,,
campus.mccd.edu,,,,No,2022-02-20 18:01:00.000,,,
timthai.com,,,,No,2022-02-27 22:20:00.000,,,
naver.com,,,,No,2022-02-28 20:32:00.000,,,
student.vvc.edu,,,,No,2022-03-07 17:31:00.000,,,
linfords.com,,,,No,2022-03-11 14:40:00.000,,,
usfca.edu,,,,No,2022-03-25 23:01:00.000,,,
my.yosemite.edu,,,,No,2022-03-29 10:45:00.000,,,
kp.org,,,,No,2022-04-13 13:09:00.000,,,
sbcc.edu,,,,No,2022-04-23 10:40:00.000,,,
writeme.com,,,,No,2022-05-09 13:20:00.000,,,
technovatic.com,,,,No,2022-05-09 13:20:00.000,,,
mmchr.com,,,,No,2022-05-12 10:51:00.000,,,
candassociates.com,,,,No,2022-05-12 20:01:00.000,,,
cerudolph.com,,,,No,2022-05-13 14:32:00.000,,,
alamedahealthsystem.org,,,,No,2022-05-19 02:38:00.000,,,
asu.edu,,,,No,2022-05-19 13:14:00.000,,,
fivekeys.org,,,,No,2022-05-30 14:28:00.000,,,
unhooked.co.uk,,,,No,2022-06-07 06:58:00.000,,,
osi.ca.gov,,,,No,2022-06-13 12:45:00.000,,,
prodigy.net,,,,No,2022-06-14 01:45:00.000,,,
hotmail.co.uk,,,,No,2022-06-14 07:59:00.000,,,
simplelogin.co,,,,No,2022-06-14 15:40:00.000,,,
pm.me,,,,No,2022-06-18 18:01:00.000,,,
surewest.net,,,,No,2022-06-20 13:54:00.000,,,
burtronics.com,,,,No,2022-06-21 18:18:00.000,,,
ccmail.uk,,,,No,2022-06-23 04:50:00.000,,,
tapi.re,,,,No,2022-06-23 06:53:00.000,,,
knowledgemd.com,,,,No,2022-06-23 23:27:00.000,,,
losmedanos.edu,,,,No,2022-06-25 10:01:00.000,,,
desis.live,,,,No,2022-06-28 11:16:00.000,,,
rydetrans.com,,,,No,2022-06-29 12:13:00.000,,,
apps.losrios.edu,,,,No,2022-06-29 17:31:00.000,,,
americanbackflow.com,,,,No,2022-06-29 17:41:00.000,,,
sa.ucsb.edu,,,,No,2022-07-01 13:28:00.000,,,
email.bakersfieldcollege.edu,,,,No,2022-07-02 13:57:00.000,,,
solacegraphics.com,,,,No,2022-07-03 11:15:00.000,,,
danielrobertkelly.com,,,,No,2022-07-11 20:02:00.000,,,
yahoo.co.jp,,,,No,2022-07-13 20:34:00.000,,,
plusmacs.com,,,,No,2022-07-14 16:02:00.000,,,
sacsewer.com,,,,No,2022-07-14 20:10:00.000,,,
collector.org,,,,No,2022-07-16 09:48:00.000,,,
nexbenefit.com,,,,No,2022-07-19 15:23:00.000,,,
student.mtsac.edu,,,,No,2022-07-20 16:21:00.000,,,
stumorris.com,,,,No,2022-07-21 16:15:00.000,,,
face-doctor.com,,,,No,2022-07-22 06:30:00.000,,,
apacla.com,,,,No,2022-07-23 11:31:00.000,,,
gmail.con,,,,No,2022-07-26 11:55:00.000,,,
qbmedical.com,,,,No,2022-07-27 10:12:00.000,,,
slsja.org,,,,No,2022-07-31 05:35:00.000,,,
outlook.de,,,,No,2022-08-02 19:59:00.000,,,
live.jp,,,,No,2022-08-03 00:38:00.000,,,
proton.me,,,,No,2022-08-06 12:49:00.000,,,
totallykids.com,,,,No,2022-08-08 13:58:00.000,,,
solarunion.com,,,,No,2022-08-09 04:08:00.000,,,
arrowvasolutions.com,,,,No,2022-08-09 12:10:00.000,,,
duck.com,,,,No,2022-08-09 16:32:00.000,,,
laverne.edu,,,,No,2022-08-10 13:55:00.000,,,
aspirepublicschools.org,,,,No,2022-08-12 21:49:00.000,,,
st.ug.edu.gh,,,,No,2022-08-15 08:47:00.000,,,
meigs.co.uk,,,,No,2022-08-15 14:28:00.000,,,
dusd.net,,,,No,2022-08-15 18:04:00.000,,,
hey.com,,,,No,2022-08-16 23:38:00.000,,,
reinsurancenet.com,,,,No,2022-08-18 13:40:00.000,,,
ucr.edu,,,,No,2022-08-18 19:51:00.000,,,
upr.edu,,,,No,2022-08-28 20:30:00.000,,,
yellen.co,,,,No,2022-08-29 12:57:00.000,,,
ucdavis.edu,,,,No,2022-09-02 23:08:00.000,,,
norcal.aaa.com,,,,No,2022-09-12 11:14:00.000,,,
